Date,Close,SMA,Change
2018-06-08,3635.1499,3682.2795,-1.2964967414411221
2018-06-07,3651.5,3684.0372,-0.8910639463234344
2018-06-06,3635.2,3685.769,-1.3910926496478864
2018-06-05,3610.3999,3687.7035,-2.1411367754580373
2018-06-04,3613.6001,3689.4367,-2.098643953435802
2018-06-01,3626.3,3690.5732,-1.7724181672779313
2018-05-31,3544.8999,3691.8895,-4.146509186338388
2018-05-30,3601.45,3693.5837,-2.5582390426078474
2018-05-29,3610.3999,3695.1435,-2.3472081306007193
2018-05-28,3599.8,3696.855,-2.6961220067781495
